"";"education";"ocupation";"area";"age group";"recomendation";"firma";"score";"detractor";"neutral";"promoter";"total"
"1498";"Wyższe";"Główny agronom";"więcej niż 250 ha";"powyżej 60";8;"Łubin";"Neutral";0;1;0;1
"1499";"Wyższe";"Dyrektor/wicedyrektor";"więcej niż 250 ha";"51 - 60";7;"Łubin";"Neutral";0;1;0;1
"1500";"Średnie techniczne";"Dyrektor/wicedyrektor";"100.01 - 250 ha";"51 - 60";8;"Łubin";"Neutral";0;1;0;1
"1501";"Wyższe rolnicze";"Główny agronom";"50.01 - 100 ha";"powyżej 60";5;"Łubin";"Detractor";1;0;0;1
"1502";"Średnie techniczne";"Agronom ekspert";"więcej niż 250 ha";"31 - 40";1;"Łubin";"Detractor";1;0;0;1
"1503";"Średnie techniczne";"Główny agronom";"więcej niż 250 ha";"31 - 40";1;"Łubin";"Detractor";1;0;0;1
"1504";"Średnie ogólne";"Właściciel";"mniej niż 25 ha";"powyżej 60";5;"Łubin";"Detractor";1;0;0;1
"1505";"Wyższe rolnicze";"Główny agronom";"więcej niż 250 ha";"mniej niż 30";6;"Łubin";"Detractor";1;0;0;1
"1506";"Wyższe rolnicze";"Agronom ekspert";"100.01 - 250 ha";"powyżej 60";10;"Łubin";"Promoter";0;0;1;1
"1507";"Średnie ogólne";"Pracownik techniczny";"więcej niż 250 ha";"powyżej 60";5;"Łubin";"Detractor";1;0;0;1
"1508";"Średnie techniczne";"Właściciel";"więcej niż 250 ha";"51 - 60";2;"Łubin";"Detractor";1;0;0;1
"1509";"Średnie techniczne";"Właściciel";"100.01 - 250 ha";"51 - 60";2;"Łubin";"Detractor";1;0;0;1
"1510";"Wyższe rolnicze";"Agronom ekspert";"więcej niż 250 ha";"31 - 40";7;"Łubin";"Neutral";0;1;0;1
"1511";"Wyższe rolnicze";"Agronom ekspert";"100.01 - 250 ha";"powyżej 60";5;"Łubin";"Detractor";1;0;0;1
"1512";"Wyższe";"Pracownik techniczny";"100.01 - 250 ha";"powyżej 60";5;"Łubin";"Detractor";1;0;0;1
"1513";"Wyższe";"Agronom ekspert";"więcej niż 250 ha";"41 - 50";2;"Łubin";"Detractor";1;0;0;1
"1514";"Wyższe rolnicze";"Główny agronom";"100.01 - 250 ha";"41 - 50";6;"Łubin";"Detractor";1;0;0;1
"1515";"Wyższe rolnicze";"Główny agronom";"więcej niż 250 ha";"mniej niż 30";2;"Łubin";"Detractor";1;0;0;1
"1516";"Średnie techniczne";"Agronom ekspert";"50.01 - 100 ha";"41 - 50";10;"Łubin";"Promoter";0;0;1;1
"1517";"Wyższe rolnicze";"Właściciel";"100.01 - 250 ha";"31 - 40";8;"Łubin";"Neutral";0;1;0;1
"1518";"Wyższe";"Agronom ekspert";"50.01 - 100 ha";"31 - 40";7;"Łubin";"Neutral";0;1;0;1
"1519";"Wyższe rolnicze";"Inna";"więcej niż 250 ha";"51 - 60";5;"Łubin";"Detractor";1;0;0;1
"1520";"Wyższe";"Pracownik techniczny";"więcej niż 250 ha";"51 - 60";1;"Łubin";"Detractor";1;0;0;1
"1521";"Wyższe";"Agronom ekspert";"więcej niż 250 ha";"31 - 40";10;"Łubin";"Promoter";0;0;1;1
"1522";"Wyższe rolnicze";"Główny agronom";"100.01 - 250 ha";"powyżej 60";10;"Łubin";"Promoter";0;0;1;1
"1523";"Średnie ogólne";"Właściciel";"50.01 - 100 ha";"powyżej 60";9;"Łubin";"Promoter";0;0;1;1
"1524";"Wyższe";"Dyrektor/wicedyrektor";"więcej niż 250 ha";"31 - 40";8;"Łubin";"Neutral";0;1;0;1
"1525";"Średnie techniczne";"Główny agronom";"25.01 - 50 ha";"powyżej 60";6;"Łubin";"Detractor";1;0;0;1
"1526";"Wyższe rolnicze";"Główny agronom";"więcej niż 250 ha";"41 - 50";3;"Łubin";"Detractor";1;0;0;1
"1527";"Średnie techniczne";"Pracownik techniczny";"100.01 - 250 ha";"powyżej 60";9;"Łubin";"Promoter";0;0;1;1
"1528";"Średnie ogólne";"Dyrektor/wicedyrektor";"więcej niż 250 ha";"powyżej 60";8;"Łubin";"Neutral";0;1;0;1
"1529";"Średnie ogólne";"Agronom ekspert";"więcej niż 250 ha";"powyżej 60";2;"Łubin";"Detractor";1;0;0;1
"1530";"Wyższe rolnicze";"Dyrektor/wicedyrektor";"50.01 - 100 ha";"41 - 50";6;"Łubin";"Detractor";1;0;0;1
"1531";"Średnie techniczne";"Właściciel";"25.01 - 50 ha";"41 - 50";0;"Łubin";"Detractor";1;0;0;1
"1532";"Średnie ogólne";"Agronom ekspert";"50.01 - 100 ha";"powyżej 60";1;"Łubin";"Detractor";1;0;0;1
"1533";"Wyższe rolnicze";"Dyrektor/wicedyrektor";"100.01 - 250 ha";"powyżej 60";4;"Łubin";"Detractor";1;0;0;1
"1534";"Wyższe rolnicze";"Właściciel";"100.01 - 250 ha";"51 - 60";8;"Łubin";"Neutral";0;1;0;1
"1535";"Średnie ogólne";"Właściciel";"więcej niż 250 ha";"powyżej 60";2;"Łubin";"Detractor";1;0;0;1
"1536";"Wyższe rolnicze";"Dyrektor/wicedyrektor";"25.01 - 50 ha";"powyżej 60";0;"Łubin";"Detractor";1;0;0;1
"1537";"Wyższe rolnicze";"Agronom ekspert";"50.01 - 100 ha";"31 - 40";5;"Łubin";"Detractor";1;0;0;1
"1538";"Średnie techniczne";"Agronom ekspert";"więcej niż 250 ha";"powyżej 60";3;"Łubin";"Detractor";1;0;0;1
"1539";"Wyższe";"Agronom ekspert";"więcej niż 250 ha";"powyżej 60";7;"Łubin";"Neutral";0;1;0;1
"1540";"Wyższe";"Agronom ekspert";"mniej niż 25 ha";"41 - 50";5;"Łubin";"Detractor";1;0;0;1
"1541";"Średnie ogólne";"Właściciel";"mniej niż 25 ha";"41 - 50";10;"Łubin";"Promoter";0;0;1;1
"1542";"Wyższe";"Agronom ekspert";"50.01 - 100 ha";"powyżej 60";5;"Łubin";"Detractor";1;0;0;1
"1543";"Średnie techniczne";"Dyrektor/wicedyrektor";"50.01 - 100 ha";"51 - 60";4;"Łubin";"Detractor";1;0;0;1
"1544";"Wyższe";"Główny agronom";"100.01 - 250 ha";"mniej niż 30";10;"Łubin";"Promoter";0;0;1;1
"1545";"Średnie ogólne";"Główny agronom";"50.01 - 100 ha";"51 - 60";4;"Łubin";"Detractor";1;0;0;1
"1546";"Średnie ogólne";"Główny agronom";"100.01 - 250 ha";"powyżej 60";1;"Łubin";"Detractor";1;0;0;1
"1547";"Wyższe rolnicze";"Właściciel";"25.01 - 50 ha";"powyżej 60";7;"Łubin";"Neutral";0;1;0;1
"1548";"Wyższe";"Pracownik techniczny";"więcej niż 250 ha";"31 - 40";6;"Łubin";"Detractor";1;0;0;1
"1549";"Wyższe";"Główny agronom";"100.01 - 250 ha";"powyżej 60";0;"Łubin";"Detractor";1;0;0;1
"1550";"Średnie techniczne";"Właściciel";"100.01 - 250 ha";"41 - 50";4;"Łubin";"Detractor";1;0;0;1
"1551";"Średnie ogólne";"Główny agronom";"więcej niż 250 ha";"41 - 50";9;"Łubin";"Promoter";0;0;1;1
"1552";"Średnie techniczne";"Właściciel";"100.01 - 250 ha";"powyżej 60";8;"Łubin";"Neutral";0;1;0;1
"1553";"Średnie techniczne";"Agronom ekspert";"mniej niż 25 ha";"powyżej 60";9;"Łubin";"Promoter";0;0;1;1
"1554";"Średnie ogólne";"Główny agronom";"25.01 - 50 ha";"51 - 60";7;"Łubin";"Neutral";0;1;0;1
"1555";"Średnie ogólne";"Pracownik techniczny";"więcej niż 250 ha";"51 - 60";1;"Łubin";"Detractor";1;0;0;1
"1556";"Wyższe rolnicze";"Agronom ekspert";"więcej niż 250 ha";"mniej niż 30";6;"Łubin";"Detractor";1;0;0;1
"1557";"Wyższe";"Główny agronom";"więcej niż 250 ha";"31 - 40";10;"Łubin";"Promoter";0;0;1;1
"1558";"Średnie techniczne";"Agronom ekspert";"więcej niż 250 ha";"mniej niż 30";0;"Łubin";"Detractor";1;0;0;1
"1559";"Wyższe rolnicze";"Właściciel";"100.01 - 250 ha";"powyżej 60";7;"Łubin";"Neutral";0;1;0;1
"1560";"Średnie techniczne";"Właściciel";"100.01 - 250 ha";"51 - 60";4;"Łubin";"Detractor";1;0;0;1
"1561";"Średnie techniczne";"Właściciel";"mniej niż 25 ha";"31 - 40";6;"Łubin";"Detractor";1;0;0;1
"1562";"Średnie techniczne";"Dyrektor/wicedyrektor";"50.01 - 100 ha";"51 - 60";4;"Łubin";"Detractor";1;0;0;1
"1563";"Średnie ogólne";"Dyrektor/wicedyrektor";"więcej niż 250 ha";"31 - 40";3;"Łubin";"Detractor";1;0;0;1
"1564";"Wyższe";"Główny agronom";"więcej niż 250 ha";"mniej niż 30";8;"Łubin";"Neutral";0;1;0;1
"1565";"Wyższe rolnicze";"Właściciel";"więcej niż 250 ha";"powyżej 60";9;"Łubin";"Promoter";0;0;1;1
"1566";"Średnie ogólne";"Właściciel";"50.01 - 100 ha";"51 - 60";1;"Łubin";"Detractor";1;0;0;1
"1567";"Wyższe rolnicze";"Dyrektor/wicedyrektor";"50.01 - 100 ha";"mniej niż 30";10;"Łubin";"Promoter";0;0;1;1
"1568";"Średnie techniczne";"Pracownik techniczny";"więcej niż 250 ha";"41 - 50";8;"Łubin";"Neutral";0;1;0;1
"1569";"Średnie ogólne";"Właściciel";"100.01 - 250 ha";"51 - 60";1;"Mięta";"Detractor";1;0;0;1
"1570";"Średnie ogólne";"Agronom ekspert";"mniej niż 25 ha";"31 - 40";6;"Mięta";"Detractor";1;0;0;1
"1571";"Średnie ogólne";"Główny agronom";"100.01 - 250 ha";"mniej niż 30";8;"Mięta";"Neutral";0;1;0;1
"1572";"Średnie ogólne";"Główny agronom";"więcej niż 250 ha";"mniej niż 30";9;"Mięta";"Promoter";0;0;1;1
"1573";"Średnie ogólne";"Właściciel";"25.01 - 50 ha";"31 - 40";9;"Mięta";"Promoter";0;0;1;1
"1574";"Średnie ogólne";"Główny agronom";"25.01 - 50 ha";"mniej niż 30";2;"Mięta";"Detractor";1;0;0;1
"1575";"Wyższe";"Główny agronom";"100.01 - 250 ha";"41 - 50";2;"Mięta";"Detractor";1;0;0;1
"1576";"Średnie ogólne";"Właściciel";"100.01 - 250 ha";"41 - 50";10;"Mięta";"Promoter";0;0;1;1
"1577";"Średnie techniczne";"Właściciel";"więcej niż 250 ha";"powyżej 60";6;"Mięta";"Detractor";1;0;0;1
"1578";"Średnie ogólne";"Właściciel";"więcej niż 250 ha";"31 - 40";3;"Mięta";"Detractor";1;0;0;1
"1579";"Średnie ogólne";"Główny agronom";"25.01 - 50 ha";"powyżej 60";3;"Mięta";"Detractor";1;0;0;1
"1580";"Średnie techniczne";"Pracownik techniczny";"100.01 - 250 ha";"41 - 50";4;"Mięta";"Detractor";1;0;0;1
"1581";"Średnie techniczne";"Właściciel";"mniej niż 25 ha";"41 - 50";4;"Mięta";"Detractor";1;0;0;1
"1582";"Średnie ogólne";"Dyrektor/wicedyrektor";"więcej niż 250 ha";"mniej niż 30";10;"Mięta";"Promoter";0;0;1;1
"1583";"Średnie ogólne";"Główny agronom";"25.01 - 50 ha";"31 - 40";10;"Mięta";"Promoter";0;0;1;1
"1584";"Średnie ogólne";"Właściciel";"100.01 - 250 ha";"31 - 40";8;"Mięta";"Neutral";0;1;0;1
"1585";"Średnie techniczne";"Właściciel";"100.01 - 250 ha";"31 - 40";9;"Mięta";"Promoter";0;0;1;1
"1586";"Średnie ogólne";"Agronom ekspert";"100.01 - 250 ha";"51 - 60";2;"Mięta";"Detractor";1;0;0;1
"1587";"Średnie techniczne";"Właściciel";"50.01 - 100 ha";"powyżej 60";5;"Mięta";"Detractor";1;0;0;1
"1588";"Średnie ogólne";"Główny agronom";"25.01 - 50 ha";"powyżej 60";2;"Mięta";"Detractor";1;0;0;1
"1589";"Średnie ogólne";"Właściciel";"mniej niż 25 ha";"mniej niż 30";9;"Mięta";"Promoter";0;0;1;1
"1590";"Średnie ogólne";"Główny agronom";"więcej niż 250 ha";"41 - 50";9;"Mięta";"Promoter";0;0;1;1
"1591";"Średnie ogólne";"Dyrektor/wicedyrektor";"50.01 - 100 ha";"powyżej 60";5;"Mięta";"Detractor";1;0;0;1
"1592";"Średnie ogólne";"Dyrektor/wicedyrektor";"50.01 - 100 ha";"51 - 60";3;"Mięta";"Detractor";1;0;0;1
"1593";"Średnie techniczne";"Dyrektor/wicedyrektor";"100.01 - 250 ha";"51 - 60";10;"Mięta";"Promoter";0;0;1;1
"1594";"Średnie ogólne";"Właściciel";"50.01 - 100 ha";"41 - 50";3;"Mięta";"Detractor";1;0;0;1
"1595";"Średnie techniczne";"Pracownik techniczny";"mniej niż 25 ha";"51 - 60";5;"Mięta";"Detractor";1;0;0;1
"1596";"Średnie ogólne";"Dyrektor/wicedyrektor";"mniej niż 25 ha";"51 - 60";8;"Mięta";"Neutral";0;1;0;1
"1597";"Średnie ogólne";"Pracownik techniczny";"mniej niż 25 ha";"51 - 60";3;"Mięta";"Detractor";1;0;0;1
"1598";"Średnie ogólne";"Właściciel";"mniej niż 25 ha";"mniej niż 30";10;"Mięta";"Promoter";0;0;1;1
"1599";"Średnie ogólne";"Pracownik techniczny";"50.01 - 100 ha";"powyżej 60";5;"Mięta";"Detractor";1;0;0;1
"1600";"Wyższe rolnicze";"Właściciel";"mniej niż 25 ha";"41 - 50";5;"Mięta";"Detractor";1;0;0;1
"1601";"Wyższe";"Główny agronom";"więcej niż 250 ha";"51 - 60";0;"Mięta";"Detractor";1;0;0;1
"1602";"Średnie ogólne";"Właściciel";"100.01 - 250 ha";"31 - 40";0;"Mięta";"Detractor";1;0;0;1
"1603";"Średnie ogólne";"Właściciel";"więcej niż 250 ha";"31 - 40";4;"Mięta";"Detractor";1;0;0;1
"1604";"Średnie ogólne";"Agronom ekspert";"więcej niż 250 ha";"powyżej 60";4;"Mięta";"Detractor";1;0;0;1
"1605";"Średnie ogólne";"Agronom ekspert";"50.01 - 100 ha";"51 - 60";1;"Mięta";"Detractor";1;0;0;1
"1606";"Średnie ogólne";"Agronom ekspert";"mniej niż 25 ha";"41 - 50";5;"Mięta";"Detractor";1;0;0;1
"1607";"Średnie ogólne";"Właściciel";"więcej niż 250 ha";"51 - 60";6;"Mięta";"Detractor";1;0;0;1
"1608";"Średnie techniczne";"Agronom ekspert";"25.01 - 50 ha";"51 - 60";3;"Mięta";"Detractor";1;0;0;1
"1609";"Średnie ogólne";"Pracownik techniczny";"więcej niż 250 ha";"41 - 50";6;"Mięta";"Detractor";1;0;0;1
"1610";"Średnie ogólne";"Pracownik techniczny";"więcej niż 250 ha";"41 - 50";0;"Mięta";"Detractor";1;0;0;1
"1611";"Średnie techniczne";"Agronom ekspert";"100.01 - 250 ha";"41 - 50";10;"Mięta";"Promoter";0;0;1;1
"1612";"Średnie techniczne";"Agronom ekspert";"25.01 - 50 ha";"31 - 40";9;"Mięta";"Promoter";0;0;1;1
"1613";"Średnie ogólne";"Właściciel";"25.01 - 50 ha";"31 - 40";8;"Mięta";"Neutral";0;1;0;1
"1614";"Średnie ogólne";"Właściciel";"25.01 - 50 ha";"powyżej 60";1;"Mięta";"Detractor";1;0;0;1
"1615";"Średnie ogólne";"Główny agronom";"100.01 - 250 ha";"51 - 60";7;"Mięta";"Neutral";0;1;0;1
"1616";"Średnie ogólne";"Właściciel";"100.01 - 250 ha";"41 - 50";7;"Mięta";"Neutral";0;1;0;1
"1617";"Średnie ogólne";"Właściciel";"więcej niż 250 ha";"powyżej 60";0;"Mięta";"Detractor";1;0;0;1
"1618";"Średnie ogólne";"Pracownik techniczny";"100.01 - 250 ha";"31 - 40";9;"Mięta";"Promoter";0;0;1;1
"1619";"Średnie techniczne";"Właściciel";"mniej niż 25 ha";"31 - 40";10;"Mięta";"Promoter";0;0;1;1
"1620";"Średnie ogólne";"Właściciel";"więcej niż 250 ha";"powyżej 60";7;"Mięta";"Neutral";0;1;0;1
"1621";"Średnie ogólne";"Właściciel";"50.01 - 100 ha";"41 - 50";10;"Mięta";"Promoter";0;0;1;1
"1622";"Średnie ogólne";"Właściciel";"50.01 - 100 ha";"31 - 40";2;"Mięta";"Detractor";1;0;0;1
"1623";"Średnie ogólne";"Agronom ekspert";"50.01 - 100 ha";"41 - 50";2;"Mięta";"Detractor";1;0;0;1
"1624";"Średnie ogólne";"Agronom ekspert";"50.01 - 100 ha";"51 - 60";8;"Mięta";"Neutral";0;1;0;1
"1625";"Średnie ogólne";"Właściciel";"więcej niż 250 ha";"41 - 50";10;"Mięta";"Promoter";0;0;1;1
"1626";"Średnie ogólne";"Właściciel";"mniej niż 25 ha";"31 - 40";6;"Mięta";"Detractor";1;0;0;1
"1627";"Średnie ogólne";"Właściciel";"50.01 - 100 ha";"31 - 40";1;"Mięta";"Detractor";1;0;0;1
"1628";"Średnie ogólne";"Właściciel";"100.01 - 250 ha";"51 - 60";6;"Mięta";"Detractor";1;0;0;1
"1629";"Wyższe rolnicze";"Właściciel";"mniej niż 25 ha";"41 - 50";7;"Mięta";"Neutral";0;1;0;1
"1630";"Średnie ogólne";"Właściciel";"50.01 - 100 ha";"powyżej 60";9;"Mięta";"Promoter";0;0;1;1
"1631";"Średnie ogólne";"Agronom ekspert";"50.01 - 100 ha";"51 - 60";6;"Mięta";"Detractor";1;0;0;1
"1632";"Średnie ogólne";"Agronom ekspert";"mniej niż 25 ha";"31 - 40";4;"Mięta";"Detractor";1;0;0;1
"1633";"Średnie ogólne";"Pracownik techniczny";"100.01 - 250 ha";"31 - 40";5;"Mięta";"Detractor";1;0;0;1
"1634";"Średnie ogólne";"Pracownik techniczny";"50.01 - 100 ha";"mniej niż 30";10;"Mięta";"Promoter";0;0;1;1
"1635";"Średnie ogólne";"Agronom ekspert";"mniej niż 25 ha";"31 - 40";0;"Mięta";"Detractor";1;0;0;1
"1636";"Średnie ogólne";"Właściciel";"więcej niż 250 ha";"mniej niż 30";4;"Mięta";"Detractor";1;0;0;1
"1637";"Średnie ogólne";"Agronom ekspert";"więcej niż 250 ha";"41 - 50";2;"Mięta";"Detractor";1;0;0;1
"1638";"Średnie ogólne";"Pracownik techniczny";"25.01 - 50 ha";"41 - 50";1;"Mięta";"Detractor";1;0;0;1
"1639";"Średnie ogólne";"Agronom ekspert";"więcej niż 250 ha";"31 - 40";7;"Mięta";"Neutral";0;1;0;1
"1640";"Średnie ogólne";"Pracownik techniczny";"więcej niż 250 ha";"31 - 40";6;"Mięta";"Detractor";1;0;0;1
"1641";"Średnie techniczne";"Pracownik techniczny";"100.01 - 250 ha";"31 - 40";3;"Mięta";"Detractor";1;0;0;1
"1642";"Średnie ogólne";"Pracownik techniczny";"100.01 - 250 ha";"mniej niż 30";9;"Mięta";"Promoter";0;0;1;1
"1643";"Średnie ogólne";"Pracownik techniczny";"50.01 - 100 ha";"mniej niż 30";10;"Mięta";"Promoter";0;0;1;1
"1644";"Średnie techniczne";"Właściciel";"50.01 - 100 ha";"41 - 50";2;"Mięta";"Detractor";1;0;0;1
"1645";"Średnie ogólne";"Główny agronom";"mniej niż 25 ha";"31 - 40";8;"Mięta";"Neutral";0;1;0;1
"1646";"Średnie ogólne";"Dyrektor/wicedyrektor";"mniej niż 25 ha";"51 - 60";9;"Mięta";"Promoter";0;0;1;1
"1647";"Średnie ogólne";"Pracownik techniczny";"więcej niż 250 ha";"41 - 50";7;"Mięta";"Neutral";0;1;0;1
"1648";"Średnie ogólne";"Właściciel";"25.01 - 50 ha";"51 - 60";0;"Mięta";"Detractor";1;0;0;1
"1649";"Wyższe";"Agronom ekspert";"więcej niż 250 ha";"31 - 40";2;"Mięta";"Detractor";1;0;0;1
"1650";"Średnie ogólne";"Właściciel";"więcej niż 250 ha";"41 - 50";4;"Mięta";"Detractor";1;0;0;1
"1651";"Wyższe rolnicze";"Pracownik techniczny";"25.01 - 50 ha";"mniej niż 30";3;"Mięta";"Detractor";1;0;0;1
"1652";"Średnie ogólne";"Pracownik techniczny";"więcej niż 250 ha";"mniej niż 30";6;"Mięta";"Detractor";1;0;0;1
"1653";"Wyższe";"Dyrektor/wicedyrektor";"więcej niż 250 ha";"powyżej 60";2;"Mięta";"Detractor";1;0;0;1
"1654";"Wyższe rolnicze";"Dyrektor/wicedyrektor";"100.01 - 250 ha";"mniej niż 30";5;"Mięta";"Detractor";1;0;0;1
"1655";"Średnie ogólne";"Pracownik techniczny";"więcej niż 250 ha";"powyżej 60";8;"Mięta";"Neutral";0;1;0;1
"1656";"Wyższe";"Dyrektor/wicedyrektor";"więcej niż 250 ha";"51 - 60";2;"Mięta";"Detractor";1;0;0;1
"1657";"Średnie techniczne";"Główny agronom";"50.01 - 100 ha";"powyżej 60";8;"Mięta";"Neutral";0;1;0;1
"1658";"Średnie ogólne";"Pracownik techniczny";"25.01 - 50 ha";"41 - 50";6;"Mięta";"Detractor";1;0;0;1
"1659";"Wyższe rolnicze";"Właściciel";"więcej niż 250 ha";"51 - 60";6;"Mięta";"Detractor";1;0;0;1
"1660";"Średnie techniczne";"Pracownik techniczny";"100.01 - 250 ha";"powyżej 60";1;"Mięta";"Detractor";1;0;0;1
"1661";"Wyższe";"Dyrektor/wicedyrektor";"100.01 - 250 ha";"31 - 40";8;"Mięta";"Neutral";0;1;0;1
"1662";"Wyższe";"Pracownik techniczny";"więcej niż 250 ha";"powyżej 60";4;"Mięta";"Detractor";1;0;0;1
"1663";"Wyższe";"Dyrektor/wicedyrektor";"100.01 - 250 ha";"41 - 50";4;"Mięta";"Detractor";1;0;0;1
"1664";"Wyższe rolnicze";"Pracownik techniczny";"więcej niż 250 ha";"51 - 60";7;"Mięta";"Neutral";0;1;0;1
"1665";"Wyższe rolnicze";"Pracownik techniczny";"więcej niż 250 ha";"31 - 40";7;"Mięta";"Neutral";0;1;0;1
"1666";"Średnie ogólne";"Główny agronom";"50.01 - 100 ha";"powyżej 60";1;"Mięta";"Detractor";1;0;0;1
"1667";"Wyższe";"Pracownik techniczny";"25.01 - 50 ha";"51 - 60";3;"Mięta";"Detractor";1;0;0;1
"1668";"Średnie techniczne";"Właściciel";"mniej niż 25 ha";"powyżej 60";5;"Mięta";"Detractor";1;0;0;1
"1669";"Średnie techniczne";"Dyrektor/wicedyrektor";"więcej niż 250 ha";"powyżej 60";8;"Mięta";"Neutral";0;1;0;1
"1670";"Średnie ogólne";"Główny agronom";"50.01 - 100 ha";"mniej niż 30";1;"Mięta";"Detractor";1;0;0;1
"1671";"Średnie ogólne";"Agronom ekspert";"mniej niż 25 ha";"51 - 60";4;"Mięta";"Detractor";1;0;0;1
"1672";"Średnie ogólne";"Agronom ekspert";"100.01 - 250 ha";"powyżej 60";8;"Mięta";"Neutral";0;1;0;1
"1673";"Wyższe";"Dyrektor/wicedyrektor";"100.01 - 250 ha";"powyżej 60";5;"Mięta";"Detractor";1;0;0;1
"1674";"Wyższe";"Dyrektor/wicedyrektor";"25.01 - 50 ha";"51 - 60";2;"Mięta";"Detractor";1;0;0;1
"1675";"Wyższe";"Pracownik techniczny";"więcej niż 250 ha";"mniej niż 30";5;"Mięta";"Detractor";1;0;0;1
"1676";"Średnie ogólne";"Dyrektor/wicedyrektor";"mniej niż 25 ha";"51 - 60";0;"Mięta";"Detractor";1;0;0;1
"1677";"Średnie ogólne";"Właściciel";"więcej niż 250 ha";"51 - 60";2;"Mięta";"Detractor";1;0;0;1
"1678";"Wyższe rolnicze";"Dyrektor/wicedyrektor";"więcej niż 250 ha";"powyżej 60";9;"Mięta";"Promoter";0;0;1;1
"1679";"Średnie techniczne";"Pracownik techniczny";"więcej niż 250 ha";"31 - 40";2;"Mięta";"Detractor";1;0;0;1
"1680";"Wyższe rolnicze";"Agronom ekspert";"25.01 - 50 ha";"powyżej 60";7;"Mięta";"Neutral";0;1;0;1
"1681";"Średnie techniczne";"Właściciel";"więcej niż 250 ha";"mniej niż 30";5;"Mięta";"Detractor";1;0;0;1
"1682";"Wyższe rolnicze";"Właściciel";"100.01 - 250 ha";"41 - 50";2;"Mięta";"Detractor";1;0;0;1
"1683";"Inne";"Pracownik techniczny";"50.01 - 100 ha";"mniej niż 30";7;"Mięta";"Neutral";0;1;0;1
"1684";"Średnie ogólne";"Agronom ekspert";"więcej niż 250 ha";"41 - 50";10;"Mięta";"Promoter";0;0;1;1
"1685";"Średnie ogólne";"Pracownik techniczny";"25.01 - 50 ha";"powyżej 60";4;"Mięta";"Detractor";1;0;0;1
"1686";"Średnie ogólne";"Agronom ekspert";"100.01 - 250 ha";"powyżej 60";1;"Mięta";"Detractor";1;0;0;1
"1687";"Średnie ogólne";"Pracownik techniczny";"więcej niż 250 ha";"mniej niż 30";9;"Mięta";"Promoter";0;0;1;1
"1688";"Wyższe rolnicze";"Pracownik techniczny";"więcej niż 250 ha";"31 - 40";4;"Mięta";"Detractor";1;0;0;1
"1689";"Średnie techniczne";"Główny agronom";"25.01 - 50 ha";"powyżej 60";3;"Mięta";"Detractor";1;0;0;1
"1690";"Wyższe";"Właściciel";"więcej niż 250 ha";"mniej niż 30";10;"Mięta";"Promoter";0;0;1;1
"1691";"Wyższe";"Właściciel";"więcej niż 250 ha";"powyżej 60";10;"Mięta";"Promoter";0;0;1;1
"1692";"Wyższe";"Dyrektor/wicedyrektor";"mniej niż 25 ha";"51 - 60";0;"Mięta";"Detractor";1;0;0;1
"1693";"Wyższe rolnicze";"Pracownik techniczny";"mniej niż 25 ha";"mniej niż 30";3;"Mięta";"Detractor";1;0;0;1
"1694";"Wyższe";"Główny agronom";"więcej niż 250 ha";"powyżej 60";9;"Mięta";"Promoter";0;0;1;1
"1695";"Wyższe";"Dyrektor/wicedyrektor";"więcej niż 250 ha";"51 - 60";0;"Mięta";"Detractor";1;0;0;1
"1696";"Średnie techniczne";"Dyrektor/wicedyrektor";"100.01 - 250 ha";"51 - 60";7;"Mięta";"Neutral";0;1;0;1
"1697";"Wyższe rolnicze";"Główny agronom";"50.01 - 100 ha";"powyżej 60";0;"Mięta";"Detractor";1;0;0;1
"1698";"Średnie techniczne";"Agronom ekspert";"więcej niż 250 ha";"31 - 40";10;"Mięta";"Promoter";0;0;1;1
"1699";"Średnie techniczne";"Główny agronom";"więcej niż 250 ha";"31 - 40";10;"Mięta";"Promoter";0;0;1;1
"1700";"Średnie ogólne";"Właściciel";"mniej niż 25 ha";"powyżej 60";10;"Mięta";"Promoter";0;0;1;1
"1701";"Wyższe rolnicze";"Główny agronom";"więcej niż 250 ha";"mniej niż 30";1;"Mięta";"Detractor";1;0;0;1
"1702";"Wyższe rolnicze";"Agronom ekspert";"100.01 - 250 ha";"powyżej 60";4;"Mięta";"Detractor";1;0;0;1
"1703";"Średnie ogólne";"Pracownik techniczny";"więcej niż 250 ha";"powyżej 60";10;"Mięta";"Promoter";0;0;1;1
"1704";"Średnie techniczne";"Właściciel";"więcej niż 250 ha";"51 - 60";8;"Mięta";"Neutral";0;1;0;1
"1705";"Średnie techniczne";"Właściciel";"100.01 - 250 ha";"51 - 60";0;"Mięta";"Detractor";1;0;0;1
"1706";"Wyższe rolnicze";"Agronom ekspert";"więcej niż 250 ha";"31 - 40";0;"Mięta";"Detractor";1;0;0;1
"1707";"Wyższe rolnicze";"Agronom ekspert";"100.01 - 250 ha";"powyżej 60";1;"Mięta";"Detractor";1;0;0;1
"1708";"Wyższe";"Pracownik techniczny";"100.01 - 250 ha";"powyżej 60";8;"Mięta";"Neutral";0;1;0;1
"1709";"Wyższe";"Agronom ekspert";"więcej niż 250 ha";"41 - 50";5;"Mięta";"Detractor";1;0;0;1
"1710";"Wyższe rolnicze";"Główny agronom";"100.01 - 250 ha";"41 - 50";9;"Mięta";"Promoter";0;0;1;1
